City,Postal Code,Country,Region
Birmingham,B12,England,West Midlands
Birmingham,B40,England,West Midlands
Thorpe,BD23,England,Yorkshire & the Humber
Bradford,BD7,England,Yorkshire & the Humber
East End,BH21,England,North West
Craigavon,BT66,Northern Ireland,Northern Ireland
Whitchurch,BS14,England,South West
Kinloch,PH43,Scotland,Scotland
Horton,BS37,England,South West
Bristol,BS41,England,South West
Church End,CB4,England,East of England
Wirral,CH48,England,North West
Sutton,CT15,England,South East
Buckland,CT16,England,South East
Walton,CV35,England,West Midlands
Whitwell,DL10,England,Yorkshire & the Humber
Carlton,DL8,England,Yorkshire & the Humber
Upton,DN21,England,East Midlands
Eaton,DN22,England,East Midlands
West End,DN36,England,East Midlands
Kingston,DT10,England,South West
London,EC1V,England,London
London,EC3M,England,London
Ford,GL54,England,South West
Burnside,EH52,Scotland,Scotland
Weston,GU32,England,South East
Liverpool,L33,England,North West
Liverpool,L74,England,North West
Aberdeen,AB39,Scotland,Scotland
Twyford,LE14,England,East Midlands
Seaton,LE15,England,East Midlands
Middleton,LE16,England,East Midlands
Stapleford,LN6,England,East Midlands
Tullich,AB55,Scotland,Scotland
Kirkton,KW10,Scotland,Scotland
Leeds,LS6,England,Yorkshire & the Humber
Newton,IV1,Scotland,Scotland
Halton,LS9,England,Yorkshire & the Humber
Manchester,M14,England,North West
Denton,M34,England,North West
Church End,N3,England,London
Newbiggin,NE46,England,North East
Milton,NG22,England,East Midlands
Newton,NG34,England,East Midlands
Norton,NN11,England,East Midlands
Wootton,NN4,England,East Midlands
Newport,NR29,England,East of England
Brampton,NR34,England,East of England
Charlton,OX12,England,South East
Dean,OX7,England,South East
Preston,PR1,England,North West
Newtown,RG20,England,South East
Sutton,RH5,England,South East
Sheffield,S1,England,Yorkshire and the Humber
Pentre,SY4,Wales,Wales
Hope Valley,S33,England,East Midlands
Norton,S8,England,Yorkshire and the Humber
Milton,AB56,Scotland,Scotland
Langley,SG4,England,East of England
Swindon,SN1,England,South West
Ashley,SN13,England,South West
Edinburgh,EH9,Scotland,Scotland
Marston,ST20,England,West Midlands
Belfast,BT2,Northern Ireland,Northern Ireland
Merton,SW19,England,London
London,SW1E,England,London
Aston,TF6,England,West Midlands
London,W1F,England,London
London,WC1B,England,London
London,WC2H,England,London
Glasgow,G4,Scotland,Scotland
Upton,WF9,England,Yorkshire & the Humber
